DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2015,34130,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2016,34610,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2017,35410,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2018,35650,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2019,35950,p
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2020,34590,p
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2021,35480,p
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2000,42190,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2001,42390,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2002,42430,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2003,42490,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2004,43520,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2005,44400,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2006,45990,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2007,46210,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2008,45700,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2009,43220,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2010,43840,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2011,44240,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2012,44170,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2013,44410,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2014,44890,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2015,45630,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2016,46720,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2017,47740,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2018,48450,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2019,48970,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2020,47890,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2021,50010,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,EA19,2000,26490,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,EA19,2001,26980,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,EA19,2002,27090,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,EA19,2003,27120,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,EA19,2004,27590,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,EA19,2005,27900,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,EA19,2006,28670,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,EA19,2007,29370,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,EA19,2008,29340,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,EA19,2009,27930,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,EA19,2010,28460,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,EA19,2011,28870,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,EA19,2012,28560,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,EA19,2013,28440,
